from,to,cost
39,78,321.5540079603399
78,39,321.5540079603399
39,175,350.7588226948483
175,39,350.7588226948483
39,176,434.5682701427448
176,39,434.5682701427448
39,178,199.49415005245046
178,39,199.49415005245046
39,243,379.75159709735976
243,39,379.75159709735976
40,43,495.57632387707093
43,40,495.57632387707093
40,45,407.0629249785624
45,40,407.0629249785624
40,47,344.50238694722395
47,40,344.50238694722395
40,48,332.16053261434934
48,40,332.16053261434934
40,71,166.46352551814095
71,40,166.46352551814095
40,78,510.29251460213936
78,40,510.29251460213936
40,175,277.0665731533507
175,40,277.0665731533507
40,178,360.5182307343027
178,40,360.5182307343027
40,243,505.5803176350162
243,40,505.5803176350162
41,46,511.060180820149
46,41,511.060180820149
41,261,180.97189706268952
261,41,180.97189706268952
41,298,495.9323381818814
298,41,495.9323381818814
41,565,387.60154844633877
565,41,387.60154844633877
41,566,391.54475288885504
566,41,391.54475288885504
42,92,547.1374274646444
92,42,547.1374274646444
42,124,726.5355423085
124,42,726.5355423085
42,125,388.90426046448175
125,42,388.90426046448175
42,155,617.3145786104577
155,42,617.3145786104577
42,159,427.1512885578986
159,42,427.1512885578986
42,165,366.1578329654249
165,42,366.1578329654249
42,314,475.00317737669843
314,42,475.00317737669843
42,335,708.8065665374431
335,42,708.8065665374431
42,563,320.87096186991766
563,42,320.87096186991766
43,48,462.9715769868325
48,43,462.9715769868325
43,96,549.7520170312962
96,43,549.7520170312962
43,111,151.72649219281814
111,43,151.72649219281814
43,164,393.00686335588927
164,43,393.00686335588927
43,175,294.0374393145712
175,43,294.0374393145712
43,177,494.94376058590774
177,43,494.94376058590774
43,180,207.30520590574736
180,43,207.30520590574736
44,50,938.1495521556666
50,44,938.1495521556666
44,66,442.4424744879484
66,44,442.4424744879484
44,72,824.85265408103
72,44,824.85265408103
44,80,944.4090599345072
80,44,944.4090599345072
44,97,504.1276134469827
97,44,504.1276134469827
44,334,637.4505365066603
334,44,637.4505365066603
44,335,273.1674844599537
335,44,273.1674844599537
44,336,496.31875189821517
336,44,496.31875189821517
44,563,445.31762185582016
563,44,445.31762185582016
45,47,411.79668279548275
47,45,411.79668279548275
45,71,324.95582593552086
71,45,324.95582593552086
45,78,451.22423721330915
78,45,451.22423721330915
45,86,290.51236994352774
86,45,290.51236994352774
45,178,375.01832497701383
178,45,375.01832497701383
45,260,405.3232087155415
260,45,405.3232087155415
46,77,232.64247435574924
77,46,232.64247435574924
46,158,442.72567127069163
158,46,442.72567127069163
46,260,274.4736704790293
260,46,274.4736704790293
46,359,571.5772610865638
359,46,571.5772610865638
46,566,124.09250087219196
566,46,124.09250087219196
47,71,190.4367201412444
71,47,190.4367201412444
47,86,219.1334209350542
86,47,219.1334209350542
47,88,552.2810819607412
88,47,552.2810819607412
47,147,330.10158324360054
147,47,330.10158324360054
47,264,546.5481975651344
264,47,546.5481975651344
48,111,478.5301619292881
111,48,478.5301619292881
48,175,184.47843067950961
175,48,184.47843067950961
48,176,406.84627569578424
176,48,406.84627569578424
48,178,440.52392888050343
178,48,440.52392888050343
48,243,173.95742061116698
243,48,173.95742061116698
49,66,614.7963092178223
66,49,614.7963092178223
49,92,556.7959997416082
92,49,556.7959997416082
49,96,426.1948706939136
96,49,426.1948706939136
49,97,336.61791561238095
97,49,336.61791561238095
49,164,483.2077495256655
164,49,483.2077495256655
49,193,356.05922717413347
193,49,356.05922717413347
49,314,348.9985501403317
314,49,348.9985501403317
49,563,466.7383655882013
563,49,466.7383655882013
50,72,709.8262209385243
72,50,709.8262209385243
50,74,572.9725618644611
74,50,572.9725618644611
50,80,207.16311530392863
80,50,207.16311530392863
50,169,639.2339556156936
169,50,639.2339556156936
50,335,1012.0657283866585
335,50,1012.0657283866585
50,336,570.1955654621889
336,50,570.1955654621889
51,53,624.534357989975
53,51,624.534357989975
51,91,784.9512199499464
91,51,784.9512199499464
51,94,528.3715550969174
94,51,528.3715550969174
51,122,734.8293813831017
122,51,734.8293813831017
51,123,585.8265924081937
123,51,585.8265924081937
51,220,529.5724743955387
220,51,529.5724743955387
51,259,300.38613124060623
259,51,300.38613124060623
52,59,405.50294345628544
59,52,405.50294345628544
52,63,743.1293537965182
63,52,743.1293537965182
52,66,617.4871065163396
66,52,617.4871065163396
52,72,455.4480115180111
72,52,455.4480115180111
52,79,652.442626719406
79,52,652.442626719406
52,84,455.9952735423791
84,52,455.9952735423791
52,88,669.0884707948147
88,52,669.0884707948147
52,98,661.2390059220414
98,52,661.2390059220414
52,119,494.53507247006587
119,52,494.53507247006587
53,91,483.6939957681732
91,53,483.6939957681732
53,94,697.9002723880794
94,53,697.9002723880794
53,152,812.5720741845007
152,53,812.5720741845007
53,158,874.9978371641663
158,53,874.9978371641663
53,259,554.26818928838
259,53,554.26818928838
53,359,912.826254126983
359,53,912.826254126983
53,378,373.7737439220786
378,53,373.7737439220786
